วันที่โพส,website,ประเภท,สถานะ,ชื่อโครงการ,ขนาด,ราคา,เขต,Link,เบอร์โทรศัพท์,Line,คำอธิบาย
15/04/2026,facebook,,ขาย/ปล่อยเช่า,The City ราชพฤกษ์ สวนผัก,,,,https://www.facebook.com/groups/933477144626594/posts/1646923313281970/,,,
15/04/2026,facebook,บ้านเดี่ยว,,ลดาวัลย์,,,,https://www.facebook.com/groups/933477144626594/posts/1646917299949238/,,,บ้านเดี่ยวริมถนนพระราม2 ระดับTopสุดของ Land and Houses ใกล้ทางด่วน และ Central พระราม 2 มีลิฟท์ส่วนตัวภายในบ้าน หน้าบ้านวิวสวน Super Luxury Class
15/04/2026,facebook,บ้านเดี่ยว,,Bugaan krungthep kreetha,,,,https://www.facebook.com/groups/933477144626594/posts/1646901706617464/,,,บ้านเดี่ยว 3 ชั้น หรูทันสมัย มีลิฟท์ วิวสระว่ายน้ำ พร้อมเข้าอยู่...
15/04/2026,facebook,,,,,,,https://www.facebook.com/groups/933477144626594/posts/1646598223314479/,,,
15/04/2026,facebook,,,,,,,https://www.facebook.com/groups/933477144626594/posts/1646599669981001/,,,
15/04/2026,facebook,,,โกลเด้น นีโอ2 รามอินทรา-วงแหวน,35.7 ตารางวา,,,https://www.facebook.com/groups/933477144626594/posts/1646571249983843/,,,"เนื้อที่ 35.7 ตารางวา l พื้นที่ใช้สอย 136 ตารางเมตร
4 ห้องนอน l 3 ห้องน้ำ l 1 ห้องโถงนั่งเล่นและรับแขก l 1 ห้องครัว l แอร์ 2 เครื่อง l 2 ที่จอดรถ l หันหน้าไปทางทิศใต้... ดูเพิ่มเติม"
15/04/2026,facebook,,,,,,,https://www.facebook.com/groups/933477144626594/posts/1646707003303601/,,,
15/04/2026,facebook,,,Noble Terra Ramakit-Ekamai,,,พระราม 9-เอกมัย,https://www.facebook.com/groups/933477144626594/posts/1646562743318027/,,,
15/04/2026,facebook,อาคารพาณิชย์,,,4 ชั้น ไซส์ใหญ่ (หลังมุม),,,https://www.facebook.com/groups/933477144626594/posts/1646583253315976/,,,"ด่วน! โอกาสทองสำหรับเจ้าของธุรกิจและนักลงทุน 
หลุดมาแค่หลังเดียว... อาคารพาณิชย์ 4 ชั้น ไซส์ใหญ่ (หลังมุม)... ดูเพิ่มเติม"
15/04/2026,facebook,,,,,,,https://www.facebook.com/groups/933477144626594/posts/1646867179954250/,,,แค่เห็นหน้าบ้านก็ต้องยอมกับความสวย หากท่านเป็นอีก 1 คนที่ชอบบ้านสร้างนอกโครงการลองมาดูหลังนี้นะคะ การตกแต่ง ความสวย ที่ทุกท่านคุ้นตา แค่เดินเข้าบ้านก็ตกหลุมรักเลย
15/04/2026,facebook,บ้านเดี่ยว,ปล่อยเช่า,วีเว่ พระราม 9 | 𝐕𝐈𝐕𝐄 𝐑𝐚...,3 ชั้น,"250,000 บาท / เดือน",พระราม 9,https://www.facebook.com/groups/933477144626594/posts/1646562126651422/,,,บ้านเดี่ยว 3 ชั้น มีลิฟท์ส่วนตัว ใกล้โรงเรียนนานาชาติ Wellington
