วันที่โพส,website,ประเภท,สถานะ,ชื่อโครงการ,ขนาด,ราคา,เขต,Link,เบอร์โทรศัพท์,Line,คำอธิบาย
14/04/2026,facebook,,,Noble Terra Ramakit-Ekamai,,,พระราม 9-เอกมัย,https://www.facebook.com/groups/933477144626594/posts/1646562743318027/,,,
14/04/2026,facebook,บ้านเดี่ยว,เช่าและขาย,,,33 ล้านบาท,กรุงเทพกรีฑา,https://www.facebook.com/groups/933477144626594/posts/1646559873318314/,,,"บ้านเดี่ยวบรรยากาศรีสอร์ท ทำเลกรุงเทพกรีฑา บ้านใหม่ เจ้าของบ้านไม่เคยเข้าอยู่ ราคาเช่า 180,000 บาทต่อเดือน ราคาขาย 33 ล้านบาท"
14/04/2026,facebook,,เช่าและขาย,,,"ราคาเช่า 350,000 บาทต่อเดือน ราคาขาย 45,000,000 บาท",สุขุมวิท 77,https://www.facebook.com/groups/933477144626594/posts/1646561313318170/,,,เหมือนได้พักผ่อนในทุกวัน บ้านหรูพลูวิลล่า สระว่ายน้ำส่วนตัว
14/04/2026,facebook,บ้านเดี่ยว,ปล่อยเช่า,วีเว่ พระราม 9,3 ชั้น,"250,000 บาท / เดือน",พระราม 9,https://www.facebook.com/groups/933477144626594/posts/1646562126651422/,,,บ้านเดี่ยว 3 ชั้น มีลิฟท์ส่วนตัว ใกล้โรงเรียนนานาชาติ Wellington
14/04/2026,facebook,บ้านเดี่ยว,เช่า,,,ค่าเช่...,กรุงเทพกรีฑา,https://www.facebook.com/groups/933477144626594/posts/1646560579984910/,,,บ้านเดี่ยวสไตล์ Modern Luxury ดีไซน์เป็นเอกลักษณ์ มอบความเป็นส่วนตัวสูงสุดบนทำเลศักยภาพกรุงเทพกรีฑา ตอบโจทย์ไลฟ์สไตล์คนรุ่นใหม่ได้อย่างสมบูรณ์แบบ
14/04/2026,facebook,บ้านเดี่ยว,เช่า,เศรษฐสิริ เสร...,,"130,000 บาท / เดือน",,https://www.facebook.com/groups/933477144626594/posts/1646555956652039/,,,บ้านเดี่ยวหลังมุม ตกแต่งครบ พร้อมให้คุณหิ้วกระเป๋าเข้าอยู่ได้ทันที
14/04/2026,facebook,บ้านเดี่ยว,เช่า,,,"220,000 บาท/เดือน",รามอินทรา,https://www.facebook.com/groups/933477144626594/posts/1646553449985623/,,,บ้านเดี่ยวหรู ทำเลเลียบด่วนรามอินทรา เดินทางเข้าเมืองสะดวก พร้อมเฟอร์นิเจอร์และลิฟท์
14/04/2026,facebook,บ้าน,เช่า,นันทวันพระราม๙-กรุงเทพกรีฑา,,"260,000 บาท",กรุงเทพกรีฑา,https://www.facebook.com/groups/933477144626594/posts/1646554989985469/,,,บ้านหรูให้เช่า นันทวันพระราม๙-กรุงเทพกรีฑา ตกแต่งเฟอร์นิเจอร์ ตำแหน่งบ้านใกล้สวนส่วนกลาง
14/04/2026,facebook,บ้านเดี่ยว,ขาย,,กว่า 500 ตารางวา,38 ล้านบาท,รามอินทรา,https://www.facebook.com/groups/933477144626594/posts/1646540826653552/,,,บ้านหรูพร้อมสระว่ายน้ำ บนพื้นที่กว่า 500 ตารางวา ในซอยรามอินทรา 117 ปรับราคาลง เหลือเพียง 38 ล้านบาท บ้านหรูสไตล์ Nordic ออกแบบให้บ้านโปร่ง โล่ง อยู่สบาย พร้อมพื้นที่สีเขียวขนาดใหญ่และสระว่ายน้ำกลางบ้าน ให้บรรยากาศเหมือนบ้านพักตากอากาศ แต่ตั้งอยู่บนทำเลศักยภาพย่านรามอินทรา...
14/04/2026,facebook,,For Rent,,,,,https://www.facebook.com/groups/933477144626594/posts/1646554163318885/,,,"ส่งต่อความสุขจาก ""หัวใจ"" ถึงครอบครัวที่มองหาที่พักผ่อนระดับ 𝐄𝐥𝐢𝐭𝐞 บ้านหลังนี้เจ้าของตั้งใจเลือกแปลงที่ดีที่สุด ฮวงจุ้ยเด่น รับลมและพลังงานบวก ตกแต่งสไตล์..."
14/04/2026,facebook,,,,,,,https://www.facebook.com/groups/933477144626594/posts/1646518963322405/,"065-415-1919, 094-465-9914",@𝗗𝗴𝗿𝗮𝗻𝗱𝗵𝗼𝘂𝘀𝗲,สนใจนัดชมบ้าน หรือขอดูรูปเพิ่มเติม
14/04/2026,facebook,บ้านเดี่ยว,,,142 ตร.ว,,พุทธมณฑลสาย2,https://www.facebook.com/groups/933477144626594/posts/1646512033323098/,,,บ้านขนาดใหญ่ 142 ตร.ว #พุทธมณฑลสาย2 ห่างจากถนนใหญ่สาย2 ประมาณ 250 เสตร บ้าน #หลังมุมใน เงียบสงบ เป็นส่วนตัว พื้นที่เยอะมาก จอดรถได้ 10 คัน
14/04/2026,facebook,,,แกรนด์ บางกอก บูเลอวาร์ด,,ไม่ถึง 20 ล้าน,,https://www.facebook.com/groups/933477144626594/posts/1646512399989728/,,,บ้านดีอยากบอกต่อ กรานด์ บางกอก บูเลอวาร์ด ในราคาไม่ถึง 20 ล้าน บ้านดี ราคาดี โครงการดี จนกลัวเจ้าของเปลี่ยนใจไม่ขาย
14/04/2026,facebook,,,,,,,https://www.facebook.com/groups/933477144626594/posts/1646493206658314/,065-162-8244,,ยินดีให้คำปรึกษาและพานัดชมโครงการแบบ Exclusive
14/04/2026,facebook,บ้านเดี่ยว,ขาย,เดอะซิตี้ สุขสวัสดิ์ ประชาอุทิศ60 (The City Suksawat Pracha Uthit60),,,ประชาอุทิศ,https://www.facebook.com/groups/933477144626594/posts/1646494093324892/,,,
