Post_URL,Full_Content
https://www.hipflat.co.th/projects/23-poly-place-at-phaholyothin-23-jsoslk,"--- Listing Title ---
23 Poly Place @ Phaholyothin 23 (โพลี เพลส คอนโด แอท พหลโยธิน 23)
Location: ศัลยกรรมตกแต่งเกษตรนวมินทร์ คลินิก 13 ซอยพหลโยธิน 35 แยก 19 ลาดยาว จตุจักร กรุงเทพมหานคร 10900

--- Property Details ---
23 Poly Place @ Phaholyothin 23 (โพลี เพลส คอนโด แอท พหลโยธิน 23) ใน จตุจักร, กรุงเทพฯ
23 Poly Place @ Phaholyothin 23 (โพลี เพลส คอนโด แอท พหลโยธิน 23) คือโครงการ, ตั้งอยู่ที่ ศัลยกรรมตกแต่งเกษตรนวมินทร์ คลินิก 13 ซอยพหลโยธิน 35 แยก 19 ลาดยาว จตุจักร กรุงเทพมหานคร 10900.
รายละเอียด และ จุดเด่นของ 23 Poly Place @ Phaholyothin 23 (โพลี เพลส คอนโด แอท พหลโยธิน 23)
โพลี เพลส คอนโด แอท พหลโยธิน 23 (Poly Place @ Phaholyothin 23) โครงการคอนโด เจ้าของโครงการ บริษัท ซาแลน ดีเวลลอปเมนท์ จำกัด โครงการตั้งอยู่ที่ ซอยพหลโยธิน 23 แขวงลาดยาว เขตจตุจักร กรุงเทพฯ ภายในโครงการประกอบไปด้วย พื้นที่โครงการ 5 ไร่ 3 งาน 35.79 ตารางวา พื้นที่ใช้สอย 29.00- 58.00 ตร.ม. จำนวนยูนิต 553 ยูนิต พร้อมสิ่งอำนวยความสะดวกครบครัน ระบบรักษาความปลอดภัยตลอด 24 ชั่วโมง และอื่นๆ นอกจากนี้ ยังใกล้เคียงกับสถานที่สำคัญ อาทิ SCB Park,Central ลาดพร้าว,Union Mall, สวนรถไฟ,โรงเรียนหอวัง,มหาวิทยาลัยศรีปทุม,รพ.เปาโล เมมโมเรียล ฯลฯ
สิ่งอํานวยความสะดวก
สิ่งอํานวยความสะดวกที่ 23 Poly Place @ Phaholyothin 23 (โพลี เพลส คอนโด แอท พหลโยธิน 23) ประกอบด้วย ที่จอดรถ, สวน, ยิม, ยาม และ สระว่ายน้ำ."
https://www.hipflat.co.th/projects/31-residence-krkcne,"--- Listing Title ---
31 Residence (31 เรสสิเดนซ์)
Location: บ้าน สิริ เธอร์ตี้ วัน 47 ซอยสุขุมวิท 31 คลองเตยเหนือ วัฒนา กรุงเทพมหานคร 10110
สร้างเสร็จแล้ว: ม.ค. 2011 | ชั้น: 17 | ยูนิต: 14

--- Price Information ---
ให้เช่า 14 ยูนิต: ฿ 75,000/เดือน

--- Property Details ---
31 Residence (31 เรสสิเดนซ์) ใน วัฒนา, กรุงเทพฯ
31 Residence (31 เรสสิเดนซ์) คือโครงการ คอนโด และ อพาร์ทเม้นท์, ตั้งอยู่ที่ บ้าน สิริ เธอร์ตี้ วัน 47 ซอยสุขุมวิท 31 คลองเตยเหนือ วัฒนา กรุงเทพมหานคร 10110. การก่อสร้างของ 31 Residence (31 เรสสิเดนซ์) เสร็จสิ้นแล้ว ใน ม.ค. 2011. คอนโด และ อพาร์ทเม้นท์ ประกอบด้วย 17 ชั้น และ 14 ยูนิต.
รายละเอียด และ จุดเด่นของ 31 Residence (31 เรสสิเดนซ์)
31 เรสสิเดนซ์ (31 Residence) ตั้งอยู่ซอย สุขุมวิท 31 แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร มีอาคารเดียว 16 ชั้น 40 ยูนิต สิ่งอำนวยความสะดวกครบครันเช่น สระว่ายน้ำ, ฟิตเนส, การรักษาความปลอดภัย สถานที่ใกล้เคียงอาทิเช่น ประสานมิตรพลาซ่า, สวัสดีพลาซ่า, เอ็มควอเทียร์ฯลฯ
ยูนิตในโครงการ
31 Residence (31 เรสสิเดนซ์) สำหรับเช่า: 14 ยูนิตมีจำหน่ายในราคา ฿ 75,000 ถึง ฿ 144,000 ต่อเดือน.
สิ่งอํานวยความสะดวก
สิ่งอํานวยความสะดวกที่ 31 Residence (31 เรสสิเดนซ์) ประกอบด้วย ที่จอดรถ, พื้นที่สำหรับเด็ก, ยิม, ซาวน่า, ยาม และ สระว่ายน้ำ.
สถิติทางการตลาด
ราคา เช่า เฉลี่ยที่ 31 Residence (31 เรสสิเดนซ์) อยู่ที่ ฿ 467 ต่อตารางเมตร.
ซึ่ง 28.6 % แนวโน้มขาลง ราคา เช่า เฉลี่ยในปัจจุบันในอําเภอ วัฒนา (฿ 655 ต่อตารางเมตร) และ 25.2 % แนวโน้มขาลง ราคาเฉลี่ยใน กรุงเทพฯ (฿ 625 ต่อตารางเมตร)
ราคาเช่า ที่ 31 Residence (31 เรสสิเดนซ์) ลดลง 2.2 % เมื่อเทียบกับราคาเฉลี่ยในปีที่ผ่านมา."
https://www.hipflat.co.th/projects/39-by-sansiri-jqcqhs,"--- Listing Title ---
39 by Sansiri (39 บาย แสนสิริ)
Location: ซอยสุขุมวิท 39 เขตวัฒนา กุรงเทพมหานคร 10110
สร้างเสร็จแล้ว: ธ.ค. 2009 | ชั้น: 32 | จำนวนอาคาร: 1 | ยูนิต: 333

--- Price Information ---
ราคาขาย 53 ยูนิต: ฿ 7,790,000
ให้เช่า 280 ยูนิต: ฿ 30,000/เดือน

--- Property Details ---
39 by Sansiri (39 บาย แสนสิริ) ใน คลองเตย, กรุงเทพฯ
39 by Sansiri (39 บาย แสนสิริ) คือโครงการ คอนโด ที่พัฒนาโดย Sansiri, ตั้งอยู่ที่ ซอยสุขุมวิท 39 เขตวัฒนา กุรงเทพมหานคร 10110. การก่อสร้างของ 39 by Sansiri (39 บาย แสนสิริ) เสร็จสิ้นแล้ว ใน ธ.ค. 2009. คอนโด ประกอบด้วย 1 อาคาร, 32 ชั้น และ 301 ยูนิต.
รายละเอียด และ จุดเด่นของ 39 by Sansiri (39 บาย แสนสิริ)
คอนโด 39 บาย แสนสิริ ( 39 by sansiri  ตั้งอยู่ ซอยพร้อมพงศ์ คลองเตยเหนือ วัฒนา กรุงเทพมหานคร 10110 โครงการของ 39 บาย แสนสิริ สร้างแล้วเสร็จในปี พ.ศ. 2553 ประกอบด้วยอาคารสูง 32 ชั้น และ รวมทั้งหมด 178 ยูนิต ภายใน 39 บาย แสนสิริ มีสิ่งอำนวยความสะดวกมากมายไว้เพื่อตอบโจทย์การใช้ชีวิตปัจจุบัน เช่น ที่จอดรถ การรักษาความปลอดภัย 24 ชั่วโมง กล้องวงจรปิด ซาวน่า ฟิตเนส และสระว่ายน้ำ บริเวณพื้นที่ภายนอกอาคารให้คุณได้สัมผัสกับธรรมชาติ เช่น สวนหย่อม พื้นที่สำหรับบาร์บีคิว สนามเด็กเล่น และบริเวณที่เด็กทั่วไป นอกจากนั้นยังมีสถานที่อำนวยความสะดวก เช่น ร้าค้า ร้านอาหาร ศูนย์การค้า ห้างสรรพสินค้าและแหล่งช้อปปิ้งมากมายในบริเวณใกล้เคียง และยังมีสถานศึกษาต่างๆ และโรงพยาบาลชั้นนำอีกด้วย
ยูนิตในโครงการ
39 by Sansiri (39 บาย แสนสิริ) สำหรับขาย: 53 ยูนิตมีจำหน่ายในราคา ฿ 7,790,000 ถึง ฿ 22,900,000.
39 by Sansiri (39 บาย แสนสิริ) สำหรับเช่า: 280 ยูนิตมีจำหน่ายในราคา ฿ 30,000 ถึง ฿ 120,000 ต่อเดือน.
สิ่งอํานวยความสะดวก
สิ่งอํานวยความสะดวกที่ 39 by Sansiri (39 บาย แสนสิริ) ประกอบด้วย ที่จอดรถ, พื้นที่สำหรับเด็ก, เจ้าหน้าที่อำนวยความสะดวก, สวน, ยิม, ห้องทำงาน, ซาวน่า, ยาม และ สระว่ายน้ำ.
สถิติทางการตลาด
ราคา ขาย เฉลี่ยที่ 39 by Sansiri (39 บาย แสนสิริ) อยู่ที่ ฿ 200,625 ต่อตารางเมตร.
ซึ่ง 5.2 % แนวโน้มขาขึ้น ราคา ขาย เฉลี่ยในปัจจุบันในอําเภอ คลองเตย (฿ 190,697 ต่อตารางเมตร) และ 42.8 % แนวโน้มขาขึ้น ราคาเฉลี่ยใน กรุงเทพฯ (฿ 140,540 ต่อตารางเมตร)
ราคาขาย ที่ 39 by Sansiri (39 บาย แสนสิริ) ลดลง 6.4 % เมื่อเทียบกับราคาเฉลี่ยในปีที่ผ่านมา.

ราคา เช่า เฉลี่ยที่ 39 by Sansiri (39 บาย แสนสิริ) อยู่ที่ ฿ 759 ต่อตารางเมตร.
ซึ่ง 8.3 % แนวโน้มขาขึ้น ราคา เช่า เฉลี่ยในปัจจุบันในอําเภอ คลองเตย (฿ 701 ต่อตารางเมตร) และ 21.5 % แนวโน้มขาขึ้น ราคาเฉลี่ยใน กรุงเทพฯ (฿ 625 ต่อตารางเมตร)
ราคาเช่า ที่ 39 by Sansiri (39 บาย แสนสิริ) ลดลง 2.5 % เมื่อเทียบกับราคาเฉลี่ยในปีที่ผ่านมา."
https://www.hipflat.co.th/projects/8-residence-81nl004t10uc14t31e2l711aa4ac4c7e,"--- Listing Title ---
8 Residence (8 เรสซิเดนซ์)
Location: บริษัท ทานตะวันเอเชียเซอร์วิส จำกัด 21 ซอยสุขุมวิท 39 เขตวัฒนา กุรงเทพมหานคร 10110
กำลังก่อสร้าง: ธ.ค. 2026 | ชั้น: 7 | ยูนิต: 20

--- Price Information ---
ราคาขาย 20 ยูนิต: ฿ 29,520,000

--- Property Details ---
8 Residence (8 เรสซิเดนซ์) ใน วัฒนา, กรุงเทพฯ
8 Residence (8 เรสซิเดนซ์) คือโครงการ คอนโด และ อพาร์ทเม้นท์ ที่พัฒนาโดย Pannaphat Development Co.,Ltd., ตั้งอยู่ที่ บริษัท ทานตะวันเอเชียเซอร์วิส จำกัด 21 ซอยสุขุมวิท 39 เขตวัฒนา กุรงเทพมหานคร 10110. การก่อสร้างของ 8 Residence (8 เรสซิเดนซ์) มีกำหนดว่าจะเสร็จ] ใน ธ.ค. 2026. คอนโด และ อพาร์ทเม้นท์ ประกอบด้วย 7 ชั้น และ 20 ยูนิต.
รายละเอียด และ จุดเด่นของ 8 Residence (8 เรสซิเดนซ์)
โครงการ 8 เรสซิเดนซ์ เป็นโครงการประเภท คอนโด / อพาร์ทเม้นท์ ตั้งอยู่ในทำเลพื้นที่ คลองตันเหนือ, กรุงเทพมหานคร ซึ่งมีแผนการก่อสร้างให้แล้วเสร็จใน ธ.ค. 2569 โดยมีทั้งหมด 7 ชั้น รวมทั้งสิ้น 8 ยูนิต ซึ่งเป็นโครงการคุณภาพโดย และเป็นบริษัทเดียวกันที่ได้พัฒนาโครงการ 8 Residence Home (8 เรสซิเดนซ์ โฮม), 949 Neighborhood (949 เนเบอร์ฮู๊ด) และ 649 Residence (649 เรสซิเดนซ์). อีกด้วย
ยูนิตในโครงการ
8 Residence (8 เรสซิเดนซ์) สำหรับขาย: 20 ยูนิตมีจำหน่ายในราคา ฿ 29,520,000 ถึง ฿ 112,000,000.
สิ่งอํานวยความสะดวก
สิ่งอํานวยความสะดวกที่ 8 Residence (8 เรสซิเดนซ์) ประกอบด้วย ที่จอดรถ, สวน และ ยาม.
สถิติทางการตลาด
ราคา ขาย เฉลี่ยที่ 8 Residence (8 เรสซิเดนซ์) อยู่ที่ ฿ 250,000 ต่อตารางเมตร.
ซึ่ง 59.6 % แนวโน้มขาขึ้น ราคา ขาย เฉลี่ยในปัจจุบันในอําเภอ วัฒนา (฿ 156,666 ต่อตารางเมตร) และ 77.9 % แนวโน้มขาขึ้น ราคาเฉลี่ยใน กรุงเทพฯ (฿ 140,540 ต่อตารางเมตร)
ราคาขาย ที่ 8 Residence (8 เรสซิเดนซ์) ไม่มีการเปลี่ยนแปลงในปีที่ผ่านมา."
https://www.hipflat.co.th/projects/93-residence-xfiznp,"--- Listing Title ---
93 Residence (93 เรซิเดนซ์)
Location: 93 บิวดิ้ง 237 ซอยสุขุมวิท 93 เขตพระโขนง กุรงเทพมหานคร 10260

--- Property Details ---
93 Residence (93 เรซิเดนซ์) ใน พระโขนง, กรุงเทพฯ
93 Residence (93 เรซิเดนซ์) คือโครงการ, ตั้งอยู่ที่ 93 บิวดิ้ง 237 ซอยสุขุมวิท 93 เขตพระโขนง กุรงเทพมหานคร 10260.
รายละเอียด และ จุดเด่นของ 93 Residence (93 เรซิเดนซ์)
คอนโด 93 เรซิเดนซ์ ( 93 Residence ) ตั้งอยู่ใน ซอยสุขุมวิท 93 บางจาก พระโขนง กรุงเทพมหานคร 10260 โครงการของ 93 เรซิเดนซ์ สร้างแล้วเสร็จในปี พ.ศ. 2538 ประกอบด้วย 5 อาคาร สูง 8 ชั้น รวมทั้งหมด 750 ยูนิต เดินทางสะดวกสบายด้วยระบบขนส่งสาธารณะจากสถานีรถไฟฟ้า BTS บางจาก ใกล้สถานที่อำนวยความสะดวกสบาย เช่น ร้านค้า ร้านอาหาร ศูนย์การค้า ห้างสรรพสินค้าชั้นนำ และแหล่งช้อปปิ้งต่างๆมากมาย สำหรับผู้ที่มีบุตรหลาน หรือสำหรับผู้ที่พักอาศัยเป็นครอบครัว ก็มีหลากหลายสถานศึกษาให้เลือกมากมาย เช่น โรงเรียนอนุบาลนานาชาติเซนต์ไมเคิล โรงเรียนสยามสามไตร ใกล้กันคุณจะได้พบกับ โรงพยาบาลกล้วยน้ำไท 2 เป็นโรงพยาบาลที่ใกล้ที่สุด"
https://www.hipflat.co.th/projects/above-sukhumvit-39-ffjwvm,"--- Listing Title ---
Above Sukhumvit 39 (อะโบฟ สุขุมวิท 39)
Location: เบรนเวค คาเฟ่ ซอยพร้อมจิต คลองตันเหนือ วัฒนา กรุงเทพมหานคร 10110

--- Property Details ---
Above Sukhumvit 39 (อะโบฟ สุขุมวิท 39) ใน วัฒนา, กรุงเทพฯ
Above Sukhumvit 39 (อะโบฟ สุขุมวิท 39) คือโครงการ, ตั้งอยู่ที่ เบรนเวค คาเฟ่ ซอยพร้อมจิต คลองตันเหนือ วัฒนา กรุงเทพมหานคร 10110.
สิ่งอํานวยความสะดวก
สิ่งอํานวยความสะดวกที่ Above Sukhumvit 39 (อะโบฟ สุขุมวิท 39) ประกอบด้วย ที่จอดรถ, พื้นที่สำหรับเด็ก, สวน, ยิม, อินเตอร์เน็ต, ลิฟต์, ซาวน่า, ยาม และ สระว่ายน้ำ."
https://www.hipflat.co.th/projects/admiral-premier-bangkok-vopmsd,"--- Listing Title ---
Admiral Premier Bangkok (แอดมิรัล พรีเมียร์ แบงค็อก)
Location: แอ็ดมิรัลพรีเมียร์ 138 ถนนสุขุมวิท เขตวัฒนา กุรงเทพมหานคร 10110
สร้างเสร็จแล้ว: ธ.ค. 2010 | ชั้น: 9 | จำนวนอาคาร: 1 | ยูนิต: 4

--- Price Information ---
ให้เช่า 4 ยูนิต: ฿ 55,000/เดือน

--- Property Details ---
Admiral Premier Bangkok (แอดมิรัล พรีเมียร์ แบงค็อก) ใน วัฒนา, กรุงเทพฯ
Admiral Premier Bangkok (แอดมิรัล พรีเมียร์ แบงค็อก) คือโครงการ คอนโด, ตั้งอยู่ที่ แอ็ดมิรัลพรีเมียร์ 138 ถนนสุขุมวิท เขตวัฒนา กุรงเทพมหานคร 10110. การก่อสร้างของ Admiral Premier Bangkok (แอดมิรัล พรีเมียร์ แบงค็อก) เสร็จสิ้นแล้ว ใน ธ.ค. 2010. คอนโด ประกอบด้วย 1 อาคาร, 9 ชั้น และ 4 ยูนิต.
รายละเอียด และ จุดเด่นของ Admiral Premier Bangkok (แอดมิรัล พรีเมียร์ แบงค็อก)
โครงการ แอดมิรัล พรีเมียร์ แบงค็อก เป็นโครงการประเภท คอนโด / อพาร์ทเม้นท์ ตั้งอยู่ในทำเลพื้นที่ คลองเตยเหนือ, กรุงเทพมหานคร และได้สร้างเสร็จแล้วเมื่อ ธ.ค. 2553 โดยมีทั้งหมด 9 ชั้น รวมทั้งสิ้น 3 ยูนิต
ยูนิตในโครงการ
Admiral Premier Bangkok (แอดมิรัล พรีเมียร์ แบงค็อก) สำหรับเช่า: 4 ยูนิตมีจำหน่ายในราคา ฿ 55,000 ถึง ฿ 65,000 ต่อเดือน.
สิ่งอํานวยความสะดวก
สิ่งอํานวยความสะดวกที่ Admiral Premier Bangkok (แอดมิรัล พรีเมียร์ แบงค็อก) ประกอบด้วย ที่จอดรถ, เจ้าหน้าที่อำนวยความสะดวก, ยิม, ยาม และ สระว่ายน้ำ.
สถิติทางการตลาด
ราคา เช่า เฉลี่ยที่ Admiral Premier Bangkok (แอดมิรัล พรีเมียร์ แบงค็อก) อยู่ที่ ฿ 1,322 ต่อตารางเมตร.
ซึ่ง 101.8 % แนวโน้มขาขึ้น ราคา เช่า เฉลี่ยในปัจจุบันในอําเภอ วัฒนา (฿ 655 ต่อตารางเมตร) และ 111.6 % แนวโน้มขาขึ้น ราคาเฉลี่ยใน กรุงเทพฯ (฿ 625 ต่อตารางเมตร)
ราคาเช่า ที่ Admiral Premier Bangkok (แอดมิรัล พรีเมียร์ แบงค็อก) เพิ่มขึ้น 37.3 % เมื่อเทียบกับราคาเฉลี่ยในปีที่ผ่านมา."
https://www.hipflat.co.th/projects/aequa-sukhumvit-49-ldpdpg,"--- Listing Title ---
Aequa Sukhumvit 49 (เอควา สุขมวิท 49)
Location: ห้างหุ้นส่วนจำกัด ไฟฟ้าเต็กฮวด 873 ถนนสุขุมวิท คลองตันเหนือ วัฒนา กรุงเทพมหานคร 10110
สร้างเสร็จแล้ว: ธ.ค. 2011 | ชั้น: 28 | จำนวนอาคาร: 1 | ยูนิต: 337

--- Price Information ---
ราคาขาย 78 ยูนิต: ฿ 50,000
ให้เช่า 259 ยูนิต: ฿ 40,000/เดือน

--- Property Details ---
Aequa Sukhumvit 49 (เอควา สุขมวิท 49) ใน คลองเตย, กรุงเทพฯ
Aequa Sukhumvit 49 (เอควา สุขมวิท 49) คือโครงการ คอนโด ที่พัฒนาโดย AQ Estate, ตั้งอยู่ที่ ห้างหุ้นส่วนจำกัด ไฟฟ้าเต็กฮวด 873 ถนนสุขุมวิท คลองตันเหนือ วัฒนา กรุงเทพมหานคร 10110. การก่อสร้างของ Aequa Sukhumvit 49 (เอควา สุขมวิท 49) เสร็จสิ้นแล้ว ใน ธ.ค. 2011. คอนโด ประกอบด้วย 1 อาคาร, 28 ชั้น และ 301 ยูนิต.
รายละเอียด และ จุดเด่นของ Aequa Sukhumvit 49 (เอควา สุขมวิท 49)
คอนโด เอควา สุขมวิท 49 ( Aequa Sukhumvit 49 ) ตั้งอยู่สุขุมวิท 49 คลองเตยเหนือ วัฒนา กรุงเทพมหานคร 10110 โครงการ เอควา สุขมวิท 49 สร้างแล้วเสร็จในปีพ.ศ. 2554 ประกอบด้วยอาคาร สูง 28 ชั้น รวมทั้งหมด 153 ยูนิต ภายในอาคาร มีสิ่งอำนวยความสะดวกมากมาย เช่น การรักษาความปลอดภัยตลอด 24 ชั่วโมง สระว่ายน้ำ ซาวน่า และฟิตเนส เซ็นเตอร์ ในบริเวณชั้นล่าง มีสวนหย่อม พื้นที่สำหรับเด็ก และWifi อินเตอร์เน็ตไร้สายที่ให้บริการภายในอาคาร คุณจะได้พบกับการเดินทางสะดวกสบายด้วยระบบขนส่งสาธารณะเพียง 10 นาที จากสถานีรถไฟฟ้า BTS ทองหล่อ
ยูนิตในโครงการ
Aequa Sukhumvit 49 (เอควา สุขมวิท 49) สำหรับขาย: 78 ยูนิตมีจำหน่ายในราคา ฿ 50,000 ถึง ฿ 24,000,000.
Aequa Sukhumvit 49 (เอควา สุขมวิท 49) สำหรับเช่า: 259 ยูนิตมีจำหน่ายในราคา ฿ 40,000 ถึง ฿ 450,000 ต่อเดือน.
สิ่งอํานวยความสะดวก
สิ่งอํานวยความสะดวกที่ Aequa Sukhumvit 49 (เอควา สุขมวิท 49) ประกอบด้วย ที่จอดรถ, เจ้าหน้าที่อำนวยความสะดวก, สวน, ยิม, ห้องทำงาน, ซาวน่า, ยาม และ สระว่ายน้ำ.
สถิติทางการตลาด
ราคา ขาย เฉลี่ยที่ Aequa Sukhumvit 49 (เอควา สุขมวิท 49) อยู่ที่ ฿ 194,915 ต่อตารางเมตร.
ซึ่ง 2.2 % แนวโน้มขาขึ้น ราคา ขาย เฉลี่ยในปัจจุบันในอําเภอ คลองเตย (฿ 190,697 ต่อตารางเมตร) และ 38.7 % แนวโน้มขาขึ้น ราคาเฉลี่ยใน กรุงเทพฯ (฿ 140,540 ต่อตารางเมตร)
ราคาขาย ที่ Aequa Sukhumvit 49 (เอควา สุขมวิท 49) เพิ่มขึ้น 0.0 % เมื่อเทียบกับราคาเฉลี่ยในปีที่ผ่านมา.

ราคา เช่า เฉลี่ยที่ Aequa Sukhumvit 49 (เอควา สุขมวิท 49) อยู่ที่ ฿ 806 ต่อตารางเมตร.
ซึ่ง 15.0 % แนวโน้มขาขึ้น ราคา เช่า เฉลี่ยในปัจจุบันในอําเภอ คลองเตย (฿ 701 ต่อตารางเมตร) และ 29.0 % แนวโน้มขาขึ้น ราคาเฉลี่ยใน กรุงเทพฯ (฿ 625 ต่อตารางเมตร)
ราคาเช่า ที่ Aequa Sukhumvit 49 (เอควา สุขมวิท 49) เพิ่มขึ้น 0.4 % เมื่อเทียบกับราคาเฉลี่ยในปีที่ผ่านมา."
https://www.hipflat.co.th/projects/airlink-residence-lnckru,"--- Listing Title ---
Airlink Residence (แอร์ลิงค์ เรสซิเดนซ์)
Location: ซอยร่มเกล้า 52/1 เขตลาดกระบัง กุรงเทพมหานคร 10520
สร้างเสร็จแล้ว: ม.ค. 2019 | ชั้น: 8 | ยูนิต: 25

--- Price Information ---
ราคาขาย 17 ยูนิต: ฿ 650,000
ให้เช่า 8 ยูนิต: ฿ 7,000/เดือน

--- Property Details ---
Airlink Residence (แอร์ลิงค์ เรสซิเดนซ์) ใน ลาดกระบัง, กรุงเทพฯ
Airlink Residence (แอร์ลิงค์ เรสซิเดนซ์) คือโครงการ คอนโด, ตั้งอยู่ที่ ซอยร่มเกล้า 52/1 เขตลาดกระบัง กุรงเทพมหานคร 10520. การก่อสร้างของ Airlink Residence (แอร์ลิงค์ เรสซิเดนซ์) เสร็จสิ้นแล้ว ใน ม.ค. 2019. คอนโด ประกอบด้วย 8 ชั้น และ 23 ยูนิต.
รายละเอียด และ จุดเด่นของ Airlink Residence (แอร์ลิงค์ เรสซิเดนซ์)
คอนโด แอร์ลิงค์ เรสซิเดนซ์ ( Airlink Residences ) ตั้งอยู่ถนนร่มเกล้า คลองสามประเวศ ลาดกระบัง กรุงเทพมหานคร 10520 โครงการ แอร์ลิงค์ เรสซิเดนซ์ สร้างแล้วเสร็จในปี พ.ศ. 2556 ประกอบด้วย 7 อาคาร สูง 7 ชั้น รวมทั้งหมด 1019 ยูนิต ภายในอาคารมีสิ่งอำนวยความสะดวกมากมาย เช่น การรักษาความปลอดภัย 24 ชั่วโมง คีย์การ์ด บริเวณพื้นที่รับแขก ฟิตเนส และสระว่ายน้ำ ทุกยูนิตภายใน แอร์ลิงค์ เรสซิเดนท์ ประกอบด้วย เครื่องปรับอากาศ ไมโครเวฟ เครื่องทำน้ำอุ่น เคเบิ้ล หรือทีวีดาวเทียมตลอดจนอินเตอรเน็ตและทีวีใกล้กันยังมีสถานที่อำนวยความสะดวกสบาย เช่น ร้านค้า ร้านอาหาร ศูนย์การค้า ห้างสรรพสินค้าชั้นนำ และแหล่งช้อปปิ้งต่างๆมากมาย
ยูนิตในโครงการ
Airlink Residence (แอร์ลิงค์ เรสซิเดนซ์) สำหรับขาย: 17 ยูนิตมีจำหน่ายในราคา ฿ 650,000 ถึง ฿ 3,500,000.
Airlink Residence (แอร์ลิงค์ เรสซิเดนซ์) สำหรับเช่า: 8 ยูนิตมีจำหน่ายในราคา ฿ 7,000 ถึง ฿ 16,000 ต่อเดือน.
สิ่งอํานวยความสะดวก
สิ่งอํานวยความสะดวกที่ Airlink Residence (แอร์ลิงค์ เรสซิเดนซ์) ประกอบด้วย ที่จอดรถ, เจ้าหน้าที่อำนวยความสะดวก, สวน, ยิม, ยาม และ สระว่ายน้ำ.
สถิติทางการตลาด
ราคา ขาย เฉลี่ยที่ Airlink Residence (แอร์ลิงค์ เรสซิเดนซ์) อยู่ที่ ฿ 45,714 ต่อตารางเมตร.
ซึ่ง 16.3 % แนวโน้มขาลง ราคา ขาย เฉลี่ยในปัจจุบันในอําเภอ ลาดกระบัง (฿ 54,601 ต่อตารางเมตร) และ 67.5 % แนวโน้มขาลง ราคาเฉลี่ยใน กรุงเทพฯ (฿ 140,540 ต่อตารางเมตร)
ราคาขาย ที่ Airlink Residence (แอร์ลิงค์ เรสซิเดนซ์) ไม่มีการเปลี่ยนแปลงในปีที่ผ่านมา.

ราคา เช่า เฉลี่ยที่ Airlink Residence (แอร์ลิงค์ เรสซิเดนซ์) อยู่ที่ ฿ 230 ต่อตารางเมตร.
ซึ่ง 39.4 % แนวโน้มขาลง ราคา เช่า เฉลี่ยในปัจจุบันในอําเภอ ลาดกระบัง (฿ 380 ต่อตารางเมตร) และ 63.2 % แนวโน้มขาลง ราคาเฉลี่ยใน กรุงเทพฯ (฿ 625 ต่อตารางเมตร)
ราคาเช่า ที่ Airlink Residence (แอร์ลิงค์ เรสซิเดนซ์) ลดลง 2.5 % เมื่อเทียบกับราคาเฉลี่ยในปีที่ผ่านมา."
https://www.hipflat.co.th/projects/aliss-wongwianyai-dboksb,"--- Listing Title ---
Aliss Wongwianyai (เอลิส วงเวียนใหญ่)
Location: เดอะ ซิส คลินิก ถนนสมเด็จพระเจ้าตากสิน คลองต้นไทร คลองสาน กรุงเทพมหานคร 10600
สร้างเสร็จแล้ว: ม.ค. 2009 | ชั้น: 6

--- Property Details ---
Aliss Wongwianyai (เอลิส วงเวียนใหญ่) ใน คลองสาน, กรุงเทพฯ
Aliss Wongwianyai (เอลิส วงเวียนใหญ่) คือโครงการ, ตั้งอยู่ที่ เดอะ ซิส คลินิก ถนนสมเด็จพระเจ้าตากสิน คลองต้นไทร คลองสาน กรุงเทพมหานคร 10600. การก่อสร้างของ Aliss Wongwianyai (เอลิส วงเวียนใหญ่) เสร็จสิ้นแล้ว ใน ม.ค. 2009. ประกอบด้วย 6 ชั้น.
รายละเอียด และ จุดเด่นของ Aliss Wongwianyai (เอลิส วงเวียนใหญ่)
คอนโด เอลิส วงเวียนใหญ่ ( Aliss Wongwienyai ) ตั้งอยู่ที่ ซอยสมเด็จพระเจ้าตากสิน 5 คลองต้นไทร คลองสาน กรุงเทพมหานคร 10600 10260 โครงการ เอลิส วงเวียนใหญ่ สร้างแล้วเสร็จในปี พ.ศ. 2551 ประกอบด้วยอาคารสูง 6 ชั้น รวมทั้งหมด 79 ยูนิต เอลิส วงเวียนใหญ่ ตั้งอยู่ใกล้สถานที่ที่มีชื่อเสียง เช่น แม่น้ำเจ้าพระยา คุณจะได้พบกับการเดินทางสะดวกสบาย ภายในอาคาร มีสิ่งอำนวยความสะดวกมากมาย เช่น การรักษาความปลอดภัยตลอด 24 ชั่วโมง สระว่ายน้ำ และฟิตเนส ใกล้กันยังมีสถานที่อำนวยความสะดวกสบาย เช่น ร้านค้า ร้านอาหาร ศูนย์การค้า ห้างสรรพสินค้าชั้นนำ และแหล่งช้อปปิ้งต่างๆมากมาย
สถิติทางการตลาด
ราคา ขาย เฉลี่ยที่ Aliss Wongwianyai (เอลิส วงเวียนใหญ่) อยู่ที่ ฿ 63,965 ต่อตารางเมตร."
